,timestamp,below_wall,above_wall,wall_distance,coin,coin_y_offset,coin_distance,enemy,enemy_y_offset,enemy_distance,enemy_velocity,shot,k_up,k_down,k_space,SCORE
0,1.4017418,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
1,1.4295402,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
2,1.4557711,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
3,1.4823792,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
4,1.5080124,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
5,1.5363213,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
6,1.5652358,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
7,1.5942104,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
8,1.6202986,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
9,1.6481282,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
10,1.6745763,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
11,1.6994832,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
12,1.7254369,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
13,1.7520346,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
14,1.7779543,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
15,1.8036418,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
16,1.8332534,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
17,1.8622949,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
18,1.8920818,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
19,1.9202719,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
20,1.9456774,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
21,1.9743574,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
22,2.0003183,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
23,2.0253416,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
24,2.051439,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
25,2.0833296,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
26,2.1129475,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
27,2.1397964,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
28,2.1660689,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
29,2.1942916,1,1,536,0,0,-1,0,0,-1,0,0,0,0,0,0
30,2.2224584,1,1,531,0,0,-1,0,0,-1,0,0,0,0,0,0
31,2.2507671,1,1,526,0,0,-1,0,0,-1,0,0,0,0,0,0
32,2.2807817,1,1,521,0,0,-1,0,0,-1,0,0,0,0,0,0
33,2.3088664,1,1,516,0,0,-1,0,0,-1,0,0,0,0,0,0
34,2.3383377,1,1,511,0,0,-1,0,0,-1,0,0,0,0,0,0
35,2.3657801,1,1,506,0,0,-1,0,0,-1,0,0,0,0,0,0
36,2.3938358,1,1,501,0,0,-1,0,0,-1,0,0,0,0,0,0
37,2.4230917,1,1,496,0,0,-1,0,0,-1,0,0,0,0,0,0
38,2.4525125,1,1,491,0,0,-1,0,0,-1,0,0,0,0,0,0
39,2.4802762,1,1,486,0,0,-1,0,0,-1,0,0,0,0,0,0
40,2.5075853,1,1,481,0,0,-1,0,0,-1,0,0,0,0,0,0
41,2.5355495,1,1,476,0,0,-1,0,0,-1,0,0,0,0,0,0
42,2.5604853,1,1,471,0,0,-1,0,0,-1,0,0,0,0,0,0
43,2.5864589,1,1,466,0,0,-1,0,0,-1,0,0,0,0,0,0
44,2.6132758,1,1,461,0,0,-1,0,0,-1,0,0,0,0,0,0
45,2.6409644,1,1,456,0,0,-1,0,0,-1,0,0,0,0,0,0
46,2.6667986,1,1,451,0,0,-1,0,0,-1,0,0,0,0,0,0
